state,longitude,mean,min,max
Alabama,-87.63,118.95704861111112,19.02083333333333,309.625
Alabama,-87.62,118.58862847222224,17.930555555555557,315.3333333333333
Alabama,-87.61,117.43649305555556,16.520833333333332,311.7638888888889
Alabama,-87.6,118.01463541666668,17.354166666666668,316.1875
Alabama,-87.59,119.00508680555555,17.604166666666668,331.96527777777777
Alabama,-87.58,119.67484375,17.791666666666668,319.7638888888889
Alabama,-87.57,120.21859375,16.180555555555557,320.7430555555556
Alabama,-87.56,122.02194444444444,19.229166666666668,326.09027777777777
Alabama,-87.55,124.69182291666668,19.07638888888889,331.8125
Alabama,-87.54,124.38083333333331,18.26388888888889,325.3819444444445
Alabama,-87.53,123.95842013888887,18.152777777777782,330.46527777777777
Alabama,-87.52,125.16786458333334,20.541666666666668,327.9375
